Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR
0,1,0.998704999,0.3,0.545454545,0.995104355,0.387096774,0.402305124,0.649352499,0.424530932
0,2,0.997928534,0.315789474,0.428571429,0.994589023,0.363636364,0.365234068,0.656859004,0.373855277
0,3,0.998964267,0.368421053,0.636363636,0.995877351,0.466666667,0.482339589,0.68369266,0.503938338
0,4,0.997669601,0.368421053,0.4375,0.994589023,0.4,0.398783184,0.683045327,0.40450652
0,5,0.997927998,0.315789474,0.428571429,0.994587629,0.363636364,0.365233382,0.656858736,0.373855709
,,0.9982,0.3337,0.4953,0.9949,0.3962,0.4028,0.666,0.4161
,,0.0006,0.0324,0.0931,0.0006,0.0424,0.0479,0.0162,0.0536
1,1,0.997665975,0.32,0.470588235,0.993300696,0.380952381,0.384827587,0.658832988,0.397484275
1,2,0.998447607,0.3125,0.454545455,0.995619686,0.37037037,0.374774587,0.655473803,0.384939888
1,3,0.997928534,0.210526316,0.333333333,0.994073692,0.258064516,0.262062544,0.604227425,0.273862316
1,4,0.998445998,0.2,0.4,0.994331358,0.266666667,0.280282291,0.599222999,0.302061324
1,5,0.995600414,0.1875,0.15,0.992268041,0.166666667,0.163854822,0.591550207,0.170425258
2,1,0.997930678,0.4,0.428571429,0.995619686,0.413793103,0.411844122,0.698965339,0.415445209
2,2,0.996891997,0.35,0.368421053,0.993558361,0.358974359,0.355857599,0.673445998,0.360885352
2,3,0.996375874,0.166666667,0.176470588,0.992527699,0.171428571,0.167747679,0.58152127,0.173501119
2,4,0.997668394,0.238095238,0.357142857,0.993558361,0.285714286,0.288488834,0.617881816,0.299680372
2,5,0.996630378,0.454545455,0.434782609,0.993556701,0.444444444,0.441315868,0.725587916,0.446210423
3,1,0.997930678,0.266666667,0.333333333,0.995104355,0.296296296,0.29571411,0.632298672,0.301417161
3,2,0.998964803,0.294117647,0.555555556,0.995877351,0.384615385,0.402386966,0.646541225,0.426382595
3,3,0.998184647,0.28,0.5,0.993558361,0.358974359,0.371210773,0.639092324,0.39231899
3,4,0.998963731,0.380952381,0.666666667,0.995619686,0.484848485,0.501996886,0.689958056,0.52548435
3,5,0.996892802,0.222222222,0.25,0.993298969,0.235294118,0.232346424,0.609557512,0.237915235
4,1,0.997150997,0.3,0.352941176,0.993558361,0.324324324,0.322180366,0.648575499,0.328274247
4,2,0.997925311,0.32,0.5,0.993558361,0.390243902,0.396943671,0.658962656,0.412190157
4,3,0.996119017,0.5,0.347826087,0.994073692,0.41025641,0.414167089,0.748059508,0.424943706
4,4,0.995603827,0.071428571,0.055555556,0.992270033,0.0625,0.059147618,0.533516199,0.06516689
4,5,0.996631252,0.238095238,0.277777778,0.992525773,0.256410256,0.253435094,0.617363245,0.259998364
5,1,0.999481865,0.238095238,0.714285714,0.99536202,0.357142857,0.410751402,0.618788552,0.478251801
5,2,0.997155418,0.214285714,0.214285714,0.994331358,0.214285714,0.211441132,0.605720566,0.215702875
5,3,0.99533437,0.347826087,0.307692308,0.991497037,0.326530612,0.322881678,0.671580229,0.329691689
5,4,0.997409997,0.15,0.230769231,0.99304303,0.181818182,0.18267408,0.573704999,0.192574773
5,5,0.998705334,0.333333333,0.545454545,0.995618557,0.413793103,0.424360881,0.666019334,0.440940331
6,1,0.997669601,0.315789474,0.4,0.994331358,0.352941176,0.352603995,0.656729537,0.359569563
6,2,0.995855996,0.35,0.304347826,0.992527699,0.325581395,0.322637748,0.672927998,0.328848739
6,3,0.996893606,0.277777778,0.294117647,0.993558361,0.285714286,0.282597947,0.637335692,0.287622538
6,4,0.997672012,0.333333333,0.357142857,0.995104355,0.344827586,0.34257878,0.665502673,0.346526423
6,5,0.997665975,0.291666667,0.4375,0.993298969,0.35,0.353991648,0.644666321,0.366774055
7,1,0.996371177,0.260869565,0.3,0.992012368,0.279069767,0.275752771,0.628620371,0.28262494
7,2,0.998965874,0.230769231,0.428571429,0.996392682,0.3,0.312833637,0.614867552,0.330958657
7,3,0.996629505,0.25,0.315789474,0.992012368,0.279069767,0.277008143,0.623314752,0.285213727
7,4,0.997672614,0.5,0.4375,0.995877351,0.466666667,0.465650536,0.748836307,0.469651829
7,5,0.997667185,0.227272727,0.357142857,0.993298969,0.277777778,0.281685201,0.612469956,0.294398514
8,1,0.999223402,0.166666667,0.5,0.99536202,0.25,0.286884783,0.582945034,0.335265825
8,2,0.996116002,0.421052632,0.347826087,0.993300696,0.380952381,0.379358267,0.708584317,0.38585652
8,3,0.997150997,0.05,0.083333333,0.992270033,0.0625,0.06080871,0.523575499,0.069114489
8,4,0.997408655,0.227272727,0.333333333,0.99304303,0.27027027,0.271856213,0.612340691,0.282493187
8,5,0.997670205,0.176470588,0.25,0.994072165,0.206896552,0.207134994,0.587070396,0.215039418
9,1,0.997407311,0.25,0.375,0.992785365,0.3,0.302697079,0.623703656,0.31481899
9,2,0.997413347,0.266666667,0.285714286,0.994589023,0.275862069,0.273313438,0.632040007,0.277607637
9,3,0.997929071,0.444444444,0.5,0.99536202,0.470588235,0.469086554,0.721186758,0.47351055
9,4,0.997924773,0.269230769,0.466666667,0.99304303,0.341463415,0.351225872,0.633577771,0.370396541
9,5,0.994569434,0.461538462,0.222222222,0.992783505,0.3,0.317062563,0.728053948,0.342782404
