Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR,TR
0,1,0.9987049987049987,0.3,0.5454545454545454,0.995104354547797,0.3870967741935483,0.40230512392338846,0.6493524993524994,0.4245309315780843,1.0
0,2,0.9979285344381149,0.3157894736842105,0.42857142857142855,0.9945890234475651,0.36363636363636365,0.36523406775477085,0.6568590040611628,0.3738552772035732,1.0
0,3,0.9989642672190575,0.3684210526315789,0.6363636363636364,0.9958773511981448,0.4666666666666667,0.4823395886721409,0.6836926599253182,0.5039383377983033,1.0
0,4,0.9976696012428793,0.3684210526315789,0.4375,0.9945890234475651,0.39999999999999997,0.3987831838647879,0.6830453269372291,0.40450651961648515,1.0
0,5,0.9979279979279979,0.3157894736842105,0.42857142857142855,0.9945876288659794,0.36363636363636365,0.3652333819879671,0.6568587358061043,0.37385570885977826,1.0
1,1,0.9976659751037344,0.32,0.47058823529411764,0.9933006956969853,0.38095238095238104,0.38482758721965493,0.6588329875518673,0.3974842748230444,1.0
1,2,0.9984476067270375,0.3125,0.45454545454545453,0.9956196856480288,0.3703703703703703,0.3747745866955827,0.6554738033635187,0.384939887798365,1.0
1,3,0.9979285344381149,0.21052631578947367,0.3333333333333333,0.9940736923473331,0.2580645161290323,0.26206254350778535,0.6042274251137943,0.27386231618727314,1.0
1,4,0.9984459984459985,0.2,0.4,0.9943313578974491,0.26666666666666666,0.2802822911877615,0.5992229992229993,0.3020613244009276,1.0
1,5,0.995600414078675,0.1875,0.15,0.9922680412371134,0.16666666666666663,0.16385482198015314,0.5915502070393375,0.17042525773195877,1.0
2,1,0.9979306777030522,0.4,0.42857142857142855,0.9956196856480288,0.4137931034482759,0.4118441220879133,0.698965338851526,0.41544520926123607,1.0
2,2,0.9968919968919969,0.35,0.3684210526315789,0.9935583612471013,0.358974358974359,0.355857598701194,0.6734459984459985,0.3608853523915431,1.0
2,3,0.9963758736733109,0.16666666666666666,0.17647058823529413,0.9925276990466375,0.17142857142857143,0.16774767922372544,0.5815212701699889,0.17350111907685,1.0
2,4,0.9976683937823834,0.23809523809523808,0.35714285714285715,0.9935583612471013,0.2857142857142857,0.2884888343487993,0.6178818159388108,0.2996803720199752,1.0
2,5,0.9966303784344219,0.45454545454545453,0.43478260869565216,0.9935567010309279,0.4444444444444445,0.4413158681795974,0.7255879164899383,0.4462104233731306,1.0
3,1,0.9979306777030522,0.26666666666666666,0.3333333333333333,0.995104354547797,0.2962962962962963,0.2957141101256283,0.6322986721848594,0.3014171605256377,1.0
3,2,0.9989648033126294,0.29411764705882354,0.5555555555555556,0.9958773511981448,0.3846153846153846,0.40238696569402654,0.6465412251857264,0.4263825946078853,1.0
3,3,0.9981846473029046,0.28,0.5,0.9935583612471013,0.358974358974359,0.37121077272013414,0.6390923236514523,0.39231898995104353,1.0
3,4,0.9989637305699481,0.38095238095238093,0.6666666666666666,0.9956196856480288,0.4848484848484849,0.5019968862808334,0.6899580557611645,0.5254843498852774,1.0
3,5,0.9968928016571724,0.2222222222222222,0.25,0.993298969072165,0.23529411764705882,0.23234642445235282,0.6095575119396973,0.2379152348224513,1.0
4,1,0.9971509971509972,0.3,0.35294117647058826,0.9935583612471013,0.3243243243243243,0.322180366372988,0.6485754985754987,0.32827424708610575,1.0
4,2,0.9979253112033195,0.32,0.5,0.9935583612471013,0.39024390243902435,0.396943670786523,0.6589626556016598,0.4121901571759855,1.0
4,3,0.9961190168175937,0.5,0.34782608695652173,0.9940736923473331,0.41025641025641024,0.41416708863338,0.7480595084087969,0.42494370567872464,1.0
4,4,0.9956038272562711,0.07142857142857142,0.05555555555555555,0.9922700334965215,0.0625,0.05914761777452461,0.5335161993424212,0.06516688956781716,1.0
4,5,0.9966312516195905,0.23809523809523808,0.2777777777777778,0.9925257731958763,0.25641025641025644,0.25343509429191263,0.6173632448574143,0.259998363606611,1.0
5,1,0.9994818652849741,0.23809523809523808,0.7142857142857143,0.9953620200979129,0.35714285714285715,0.41075140200005156,0.618788551690106,0.47825180059140376,1.0
5,2,0.9971554176364107,0.21428571428571427,0.21428571428571427,0.9943313578974491,0.21428571428571427,0.21144113192212494,0.6057205659610625,0.21570287481135197,1.0
5,3,0.995334370139969,0.34782608695652173,0.3076923076923077,0.9914970368461736,0.32653061224489793,0.32288167841469856,0.6715802285482454,0.32969168895028433,1.0
5,4,0.9974099974099974,0.15,0.23076923076923078,0.9930430301468693,0.18181818181818185,0.18267407981419734,0.5737049987049987,0.19257477256060096,1.0
5,5,0.9987053340238219,0.3333333333333333,0.5454545454545454,0.9956185567010309,0.41379310344827586,0.4243608806241553,0.6660193336785776,0.4409403311465167,1.0
6,1,0.9976696012428793,0.3157894736842105,0.4,0.9943313578974491,0.35294117647058826,0.3526039948863728,0.6567295374635449,0.3595695629178589,1.0
6,2,0.9958559958559958,0.35,0.30434782608695654,0.9925276990466375,0.3255813953488372,0.3226377483427675,0.672927997927998,0.3288487391192319,1.0
6,3,0.9968936060056951,0.2777777777777778,0.29411764705882354,0.9935583612471013,0.28571428571428575,0.2825979470313074,0.6373356918917363,0.28762253849405434,1.0
6,4,0.9976720124159337,0.3333333333333333,0.35714285714285715,0.995104354547797,0.3448275862068965,0.3425787798352183,0.6655026728746335,0.346526422988675,1.0
6,5,0.9976659751037344,0.2916666666666667,0.4375,0.993298969072165,0.35000000000000003,0.3539916481461641,0.6446663208852006,0.3667740549828179,1.0
7,1,0.9963711767755313,0.2608695652173913,0.3,0.9920123679464056,0.27906976744186046,0.2757527705722099,0.6286203709964614,0.2826249397846812,1.0
7,2,0.9989658738366081,0.23076923076923078,0.42857142857142855,0.9963926822983767,0.3,0.31283363654024454,0.6148675523029195,0.3309586574209094,1.0
7,3,0.9966295047964739,0.25,0.3157894736842105,0.9920123679464056,0.27906976744186046,0.2770081430784698,0.6233147523982369,0.2852137267931488,1.0
7,4,0.9976726144297905,0.5,0.4375,0.9958773511981448,0.4666666666666667,0.46565053554977454,0.7488363072148952,0.46965182942540584,1.0
7,5,0.9976671850699844,0.22727272727272727,0.35714285714285715,0.993298969072165,0.2777777777777778,0.2816852010318627,0.6124699561713559,0.2943985138572768,1.0
8,1,0.9992234015014237,0.16666666666666666,0.5,0.9953620200979129,0.25,0.2868847834609899,0.5829450340840453,0.335265824959203,1.0
8,2,0.9961160020714656,0.42105263157894735,0.34782608695652173,0.9933006956969853,0.380952380952381,0.37935826684408686,0.7085843168252064,0.38585651979337227,1.0
8,3,0.9971509971509972,0.05,0.08333333333333333,0.9922700334965215,0.0625,0.060808710286614276,0.5235754985754986,0.06911448939276818,1.0
8,4,0.9974086550919927,0.22727272727272727,0.3333333333333333,0.9930430301468693,0.27027027027027023,0.2718562128383699,0.61234069118236,0.28249318747901586,1.0
8,5,0.9976702045042712,0.17647058823529413,0.25,0.9940721649484536,0.20689655172413793,0.2071349940504768,0.5870703963697826,0.21503941782898728,1.0
9,1,0.9974073113819031,0.25,0.375,0.9927853645967534,0.3,0.30269707866215134,0.6237036556909515,0.3148189899510435,1.0
9,2,0.9974133471288154,0.26666666666666666,0.2857142857142857,0.9945890234475651,0.2758620689655172,0.2733134375825232,0.632040006897741,0.2776076367161139,1.0
9,3,0.9979290706704633,0.4444444444444444,0.5,0.9953620200979129,0.47058823529411764,0.4690865536079513,0.7211867575574538,0.47351054997280195,1.0
9,4,0.9979247730220493,0.2692307692307692,0.4666666666666667,0.9930430301468693,0.3414634146341463,0.35122587169633224,0.6335777711264092,0.37039654067481953,1.0
9,5,0.9945694336695112,0.46153846153846156,0.2222222222222222,0.9927835051546392,0.3,0.31706256268851357,0.7280539476039865,0.34278240373601204,1.0
