Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR
0,1,0.999741,0.15,0.75,0.99536202,0.25,0.334139433,0.975161875,0.426580547
0,2,1,0.176470588,1,0.996392682,0.3,0.419325065,0.991611862,0.503863806
0,3,0.999741402,0.142857143,0.666666667,0.996650348,0.235294118,0.307610862,0.97301341,0.483486351
0,4,0.999740731,0.125,0.75,0.994331358,0.214285714,0.30476201,0.974429609,0.282302713
0,5,1,0,0,0.994587629,0,0,0.917792668,0.260027452
1,1,1,0.045454545,1,0.994589023,0.086956522,0.212622973,0.958544371,0.562794426
1,2,1,0.111111111,1,0.997938676,0.2,0.332989513,0.985307622,0.487871162
1,3,1,0.043478261,1,0.994331358,0.083333333,0.207922425,0.982520792,0.378695549
1,4,1,0,0,0.994589023,0,0,0.9607698,0.397029058
1,5,1,0,0,0.994587629,0,0,0.965818927,0.333651658
2,1,1,0,0,0.993558361,0,0,0.971099585,0.401137098
2,2,1,0.263157895,1,0.996392682,0.416666667,0.512061887,0.982079097,0.534500803
2,3,1,0,0,0.996135017,0,0,0.96525263,0.266316008
2,4,1,0,0,0.995104355,0,0,0.967292649,0.425539961
2,5,1,0.111111111,1,0.995876289,0.2,0.332644983,0.942998734,0.408924352
3,1,0.999482268,0.166666667,0.6,0.995619686,0.260869565,0.314716332,0.956503293,0.331766023
3,2,1,0.0625,1,0.996135017,0.117647059,0.249516285,0.984500323,0.425274164
3,3,1,0.176470588,1,0.996392682,0.3,0.419325065,0.974683352,0.411081672
3,4,1,0.058823529,1,0.995877351,0.111111111,0.242035035,0.939578005,0.481034293
3,5,1,0.107142857,1,0.993556701,0.193548387,0.32626978,0.965356587,0.407962417
,,0.9999,0.1143,0.92,0.9955,0.1966,0.3104,0.9641,0.4114
,,0.0002,0.0557,0.1789,0.0011,0.0842,0.0716,0.0172,0.0534
4,1,1,0,0,0.995877351,0,0,0.97795925,0.347455803
4,2,1,0.222222222,1,0.996392682,0.363636364,0.470552621,0.971251474,0.344054632
4,3,0.999741134,0.111111111,0.666666667,0.995619686,0.19047619,0.27100579,0.983655478,0.324300428
4,4,1,0.086956522,1,0.994589023,0.16,0.294084613,0.963182095,0.512321714
4,5,1,0,0,0.994587629,0,0,0.944557559,0.563346815
5,1,0.998964267,0.052631579,0.2,0.994331358,0.083333333,0.100397012,0.956724086,0.26712724
5,2,1,0,0,0.994846689,0,0,0.929118104,0.311968989
5,3,1,0.3125,1,0.997165679,0.476190476,0.558223192,0.990912031,0.530238445
5,4,0.999741067,0.105263158,0.666666667,0.99536202,0.181818182,0.263709137,0.974256589,0.262507197
5,5,1,0,0,0.994329897,0,0,0.970486357,0.428447818
6,1,1,0.238095238,1,0.995877351,0.384615385,0.486941874,0.972057735,0.48634339
6,2,1,0.083333333,1,0.994331358,0.153846154,0.287855351,0.982213076,0.486498406
6,3,1,0,0,0.995877351,0,0,0.971135188,0.356564777
6,4,1,0.052631579,1,0.99536202,0.1,0.228882965,0.940861021,0.40526267
6,5,1,0,0,0.995876289,0,0,0.954111672,0.279661628
7,1,1,0,0,0.99536202,0,0,0.953734864,0.29917668
7,2,1,0,0,0.991754702,0,0,0.967986815,0.340342665
7,3,1,0,0,0.995619686,0,0,0.973998295,0.381313506
7,4,1,0.352941176,1,0.997165679,0.52173913,0.593244704,0.987988674,0.536261674
7,5,1,0.25,1,0.997680412,0.4,0.499419317,0.931359876,0.581098712
8,1,1,0,0,0.995619686,0,0,0.964711972,0.355962888
8,2,1,0.117647059,1,0.996135017,0.210526316,0.342333347,0.986709901,0.483737431
8,3,1,0.157894737,1,0.995877351,0.272727273,0.396539139,0.983373763,0.386738444
8,4,1,0.05,1,0.995104355,0.095238095,0.223058635,0.977376327,0.439688053
8,5,1,0.086956522,1,0.994587629,0.16,0.294084406,0.940356889,0.318395656
9,1,1,0,0,0.993558361,0,0,0.982411826,0.41410887
9,2,1,0,0,0.994073692,0,0,0.978700385,0.408782605
9,3,1,0.071428571,1,0.996650348,0.133333333,0.266813135,0.961616609,0.336784081
9,4,1,0.090909091,1,0.997423344,0.166666667,0.301122548,0.974723984,0.261250137
9,5,1,0,0,0.994072165,0,0,0.950524738,0.467326274
