0,1,2,0.07
0,2,6,0.03
0,3,2,0.06
0,4,2,0.08
0,5,6,0.02
1,1,2,0.05
1,2,7,0.02
1,3,12,0.02
1,4,3,0.06
1,5,2,0.05
2,1,2,0.03
2,2,3,0.04
2,3,5,0.04
2,4,2,0.05
2,5,1,0.06
3,1,1,0.09
3,2,7,0.02
3,3,2,0.05
3,4,9,0.03
3,5,1,0.05
4,1,18,0.01
4,2,1,0.03
4,3,2,0.07
4,4,0,0.09
4,5,4,0.05
5,1,1,0.06
5,2,0,0.06
5,3,7,0.02
5,4,7,0.02
5,5,3,0.03
6,1,0,0.08
6,2,20,0.01
6,3,1,0.04
6,4,20,0.01
6,5,2,0.08
7,1,1,0.08
7,2,5,0.03
7,3,1,0.07
8,1,14,0.02
8,2,10,0.01
8,3,1,0.04
8,4,2,0.05
8,5,13,0.02
9,1,4,0.03
9,2,2,0.05
9,3,5,0.04
9,4,4,0.03
9,5,3,0.04
