0,1,5,0.03
0,2,1,0.05
0,3,14,0.01
0,4,10,0.03
0,5,32,0.01
1,1,10,0.02
1,2,2,0.03
1,3,2,0.05
1,4,2,0.07
1,5,27,0.01
2,2,25,0.01
2,3,9,0.03
2,4,1,0.06
2,5,17,0.01
3,1,3,0.03
3,2,4,0.03
3,3,3,0.03
3,4,6,0.04
3,5,11,0.02
4,1,2,0.06
4,2,19,0.01
4,5,15,0.02
5,1,3,0.04
5,2,8,0.02
5,4,24,0.01
5,5,2,0.05
6,1,3,0.04
6,2,6,0.03
6,3,3,0.03
6,4,3,0.04
6,5,7,0.02
7,1,11,0.02
7,2,0,0.08
7,4,1,0.02
7,5,3,0.03
8,1,3,0.04
8,2,26,0.01
8,3,6,0.02
8,4,35,0.01
8,5,4,0.05
9,1,3,0.03
9,2,26,0.01
9,3,28,0.01
9,4,7,0.02
9,5,23,0.01
