Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR
0,1,1,0.105263158,1,0.995619686,0.19047619,0.323731114,0.957385047,0.409449516
0,2,1,0.173913043,1,0.995104355,0.296296296,0.416005707,0.95509613,0.449014666
0,3,1,0.117647059,1,0.996135017,0.210526316,0.342333347,0.953005115,0.360172546
0,4,1,0.15,1,0.995619686,0.260869565,0.386448502,0.980659156,0.347614524
0,5,1,0.117647059,1,0.996134021,0.210526316,0.342333176,0.925507454,0.378814142
,,1.0000,0.1329,1.0000,0.9957,0.2337,0.3622,0.9543,0.3890
,,0.0000,0.0283,0.0000,0.0004,0.0436,0.0379,0.0196,0.0408
1,1,1,0.083333333,1,0.994331358,0.153846154,0.287855351,0.937532409,0.444594393
1,2,0.999740462,0.142857143,0.8,0.993558361,0.242424242,0.336444834,0.891851433,0.399244691
1,3,1,0.066666667,1,0.996392682,0.125,0.257732646,0.945050871,0.281759422
1,4,1,0.307692308,1,0.99768101,0.470588235,0.554055986,0.982777822,0.468307051
1,5,0.999482402,0.125,0.5,0.995876289,0.2,0.24857911,0.910075375,0.246236662
2,1,1,0.115384615,1,0.994073692,0.206896552,0.3386743,0.903437095,0.412188207
2,2,1,0.1,1,0.99536202,0.181818182,0.315493206,0.877220927,0.295435367
2,3,1,0.058823529,1,0.995877351,0.111111111,0.242035035,0.888358604,0.189555036
2,4,1,0.133333333,1,0.996650348,0.235294118,0.364535983,0.988420417,0.614613273
2,5,1,0,0,0.995360825,0,0,0.89667127,0.34174022
3,1,0.999740866,0.136363636,0.75,0.994846689,0.230769231,0.318451518,0.929521308,0.345851512
3,2,0.999482937,0.153846154,0.5,0.996650348,0.235294118,0.276096927,0.984040649,0.263451315
3,3,0.999740933,0.142857143,0.75,0.995104355,0.24,0.326016115,0.93887244,0.455367123
3,4,1,0.083333333,1,0.994331358,0.153846154,0.287855351,0.915721416,0.404818099
3,5,1,0.125,1,0.996391753,0.222222222,0.352914631,0.885044643,0.342156836
4,1,0.999482803,0,0,0.995877351,0,-0.001366256,0.982941741,0.224933468
4,2,1,0.129032258,1,0.99304303,0.228571429,0.357957621,0.911147884,0.42066669
4,3,1,0.076923077,1,0.996908013,0.142857143,0.276920874,0.969224803,0.183583615
4,4,1,0.130434783,1,0.994846689,0.230769231,0.360225057,0.86838754,0.371013084
4,5,1,0.266666667,1,0.997164948,0.421052632,0.515664496,0.986364812,0.478644881
5,1,1,0.066666667,1,0.996392682,0.125,0.257732646,0.949905156,0.297645539
5,2,1,0.1875,1,0.996650348,0.315789474,0.432286311,0.961052717,0.533895582
5,3,1,0.153846154,1,0.994331358,0.266666667,0.391117828,0.940756261,0.367250398
5,4,1,0.111111111,1,0.995877351,0.2,0.332645161,0.899178819,0.392088872
5,5,0.999740866,0.238095238,0.833333333,0.995618557,0.37037037,0.444088354,0.896340034,0.365055129
6,1,1,0.111111111,1,0.995877351,0.2,0.332645161,0.919737107,0.422050345
6,2,1,0.192307692,1,0.994589023,0.322580645,0.437339431,0.96736506,0.488453147
6,3,1,0.058823529,1,0.995877351,0.111111111,0.242035035,0.94270643,0.298383041
6,4,1,0.222222222,1,0.996392682,0.363636364,0.470552621,0.895238301,0.383065276
6,5,0.999741134,0.117647059,0.666666667,0.995876289,0.2,0.278934802,0.879010522,0.320932407
7,1,1,0,0,0.996392682,0,0,0.931101999,0.188325025
7,2,1,0.086956522,1,0.994589023,0.16,0.294084613,0.895276895,0.384659535
7,3,0.999741402,0.071428571,0.5,0.996392682,0.125,0.188006566,0.952233182,0.302758293
7,4,1,0.142857143,1,0.993816027,0.25,0.37679279,0.872854177,0.441583335
7,5,1,0.058823529,1,0.995876289,0.111111111,0.242034906,0.915259399,0.302904142
8,1,1,0.125,1,0.996392682,0.222222222,0.352914795,0.949094437,0.380922788
8,2,1,0.0625,1,0.996135017,0.117647059,0.249516285,0.96101229,0.552501017
8,3,1,0.125,1,0.994589023,0.222222222,0.352594817,0.88911935,0.333428051
8,4,1,0.086956522,1,0.994589023,0.16,0.294084613,0.91440147,0.338480009
8,5,0.999741134,0,0,0.995360825,0,-0.001065129,0.943125581,0.149072137
9,1,1,0.384615385,1,0.997938676,0.555555556,0.619533328,0.986536473,0.568808928
9,2,1,0.090909091,1,0.994846689,0.166666667,0.300733049,0.911611581,0.348447653
9,3,1,0.15,1,0.995619686,0.260869565,0.386448502,0.929156954,0.416108543
9,4,1,0.117647059,1,0.996135017,0.210526316,0.342333347,0.922154731,0.332572339
9,5,1,0.208333333,1,0.995103093,0.344827586,0.455315086,0.959354469,0.420850724
