Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR,TR
0,1,0.995339202,0.578947368,0.379310345,0.993300696,0.458333333,0.465446167,0.957385047,0.409449516,0.16
0,2,1,0.304347826,1,0.995877351,0.466666667,0.550536865,0.95509613,0.449014666,0.44
0,3,0.998188406,0.411764706,0.5,0.995619686,0.451612903,0.451571062,0.953005115,0.360172546,0.23
0,4,0.997409997,0.35,0.411764706,0.994073692,0.378378378,0.37667274,0.980659156,0.347614524,0.18
0,5,1,0.235294118,1,0.996649485,0.380952381,0.484257109,0.925507454,0.378814142,0.41
,,0.9982,0.3761,0.6582,0.9951,0.4272,0.4657,0.9543,0.3890,0.2840
,,0.0020,0.1305,0.3151,0.0014,0.0437,0.0626,0.0196,0.0408,0.1316
1,1,0.996110967,0.541666667,0.464285714,0.993300696,0.5,0.498143716,0.937532409,0.444594393,0.16
1,2,0.995068778,0.464285714,0.40625,0.991239371,0.433333333,0.429909996,0.891851433,0.399244691,0.13
1,3,0.998706674,0.266666667,0.444444444,0.995877351,0.333333333,0.342329965,0.945050871,0.281759422,0.35
1,4,1,0.384615385,1,0.997938676,0.555555556,0.619533328,0.982777822,0.468307051,0.47
1,5,0.99689441,0.375,0.333333333,0.994329897,0.352941176,0.350716189,0.910075375,0.246236662,0.15
2,1,0.99844358,0.384615385,0.625,0.994331358,0.476190476,0.487674172,0.903437095,0.412188207,0.24
2,2,1,0.2,1,0.995877351,0.333333333,0.446289838,0.877220927,0.295435367,0.43
2,3,0.994047619,0.411764706,0.233333333,0.991497037,0.29787234,0.305999605,0.888358604,0.189555036,0.12
2,4,0.998965339,0.533333333,0.666666667,0.997165679,0.592592593,0.594897234,0.988420417,0.614613273,0.24
2,5,0.997669601,0.444444444,0.470588235,0.995103093,0.457142857,0.454872713,0.89667127,0.34174022,0.15
3,1,0.993780772,0.545454545,0.333333333,0.991239371,0.413793103,0.422306374,0.929521308,0.345851512,0.14
3,2,0.998448811,0.307692308,0.4,0.996135017,0.347826087,0.348919296,0.984040649,0.263451315,0.24
3,3,0.999481865,0.333333333,0.777777778,0.995877351,0.466666667,0.507595218,0.93887244,0.455367123,0.27
3,4,0.999222193,0.333333333,0.727272727,0.995104355,0.457142857,0.490391332,0.915721416,0.404818099,0.32
3,5,1,0.25,1,0.996907216,0.4,0.499225406,0.885044643,0.342156836,0.47
4,1,0.999482803,0,0,0.995877351,0,-0.001366256,0.982941741,0.224933468,0.61
4,2,0.995324675,0.483870968,0.454545455,0.991239371,0.46875,0.464568298,0.911147884,0.42066669,0.16
4,3,0.999482937,0.153846154,0.5,0.996650348,0.235294118,0.276096927,0.969224803,0.183583615,0.27
4,4,0.997926387,0.347826087,0.5,0.994073692,0.41025641,0.414167089,0.86838754,0.371013084,0.19
4,5,0.998188875,0.466666667,0.5,0.996134021,0.482758621,0.481108963,0.986364812,0.478644881,0.23
5,1,0.992757372,0.666666667,0.263157895,0.991497037,0.377358491,0.415541438,0.949905156,0.297645539,0.12
5,2,0.996119017,0.625,0.4,0.994589023,0.487804878,0.497474758,0.961052717,0.533895582,0.16
5,3,0.991958495,0.5,0.295454545,0.988662716,0.371428571,0.379057498,0.940756261,0.367250398,0.11
5,4,0.997152472,0.5,0.45,0.994846689,0.473684211,0.471762386,0.899178819,0.392088872,0.15
5,5,0.999481731,0.285714286,0.75,0.995618557,0.413793103,0.46129402,0.896340034,0.365055129,0.44
6,1,0.994822677,0.611111111,0.35483871,0.99304303,0.448979592,0.462500882,0.919737107,0.422050345,0.13
6,2,0.993255512,0.615384615,0.380952381,0.99072404,0.470588235,0.479872371,0.96736506,0.488453147,0.14
6,3,1,0.176470588,1,0.996392682,0.3,0.419325065,0.94270643,0.298383041,0.39
