Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR
0,1,0.999223402,0.111111111,0.4,0.995104355,0.173913043,0.208993655,0.899804412,0.204227501
0,2,1,0.133333333,1,0.996650348,0.235294118,0.364535983,0.914968098,0.215167037
0,3,1,0.125,1,0.994589023,0.222222222,0.352594817,0.921247083,0.410504757
0,4,1,0,0,0.993300696,0,0,0.658525392,0.114253758
0,5,0.999741402,0.307692308,0.8,0.99742268,0.444444444,0.495209984,0.912971693,0.407670236
1,1,0.999740933,0.047619048,0.5,0.994589023,0.086956522,0.153087568,0.783271651,0.171487023
1,2,1,0.095238095,1,0.995104355,0.173913043,0.307849968,0.880261535,0.415069988
1,3,0.999481865,0.142857143,0.6,0.994846689,0.230769231,0.291105458,0.780866025,0.281849213
1,4,0.999741134,0.055555556,0.5,0.99536202,0.1,0.165547585,0.922225099,0.199550142
1,5,0.998965071,0.066666667,0.2,0.995360825,0.1,0.113530729,0.929831824,0.160031561
,,0.9996,0.0816,0.56,0.9951,0.1383,0.2062,0.8593,0.2456
,,0.0004,0.0387,0.2881,0.0003,0.0620,0.0875,0.0730,0.1060
2,1,1,0.095238095,1,0.995104355,0.173913043,0.307849968,0.784332593,0.254851416
2,2,1,0.055555556,1,0.995619686,0.105263158,0.235185336,0.864771191,0.246241213
2,3,1,0.066666667,1,0.996392682,0.125,0.257732646,0.965218141,0.446374205
2,4,0.999481462,0.083333333,0.5,0.993816027,0.142857143,0.202330092,0.877571083,0.160516558
2,5,1,0.166666667,1,0.996134021,0.285714286,0.407457775,0.92951263,0.299700318
3,1,1,0.16,1,0.994589023,0.275862069,0.398915217,0.96003112,0.46886822
3,2,0.999740933,0.095238095,0.666666667,0.994846689,0.166666667,0.250707017,0.788206267,0.203393429
3,3,1,0.1,1,0.99536202,0.181818182,0.315493206,0.644185444,0.150781915
3,4,0.999482134,0.157894737,0.6,0.99536202,0.25,0.30622945,0.958461664,0.408709111
3,5,1,0,0,0.997164948,0,0,0.905166945,0.068472652
4,1,0.998966675,0.1,0.2,0.996650348,0.133333333,0.139869712,0.781477654,0.089097741
4,2,1,0.090909091,1,0.994846689,0.166666667,0.300733049,0.820408019,0.250038047
4,3,1,0.125,1,0.994589023,0.222222222,0.352594817,0.91487339,0.361043477
4,4,1,0.111111111,1,0.993816027,0.2,0.332300273,0.915143478,0.367890276
4,5,0.999482803,0.076923077,0.333333333,0.996391753,0.125,0.158846268,0.667621492,0.091631249
5,1,1,0.090909091,1,0.994846689,0.166666667,0.300733049,0.848889255,0.284160356
5,2,1,0.045454545,1,0.994589023,0.086956522,0.212622973,0.865732997,0.244071084
5,3,1,0.1875,1,0.996650348,0.315789474,0.432286311,0.922412678,0.407646971
5,4,1,0.047619048,1,0.994846689,0.090909091,0.217654746,0.762607945,0.11379699
5,5,0.999482536,0.266666667,0.666666667,0.996649485,0.380952381,0.420329735,0.936265632,0.427309098
6,1,1,0.058823529,1,0.995877351,0.111111111,0.242035035,0.909618195,0.371624697
6,2,1,0.157894737,1,0.995877351,0.272727273,0.396539139,0.897489711,0.332734416
6,3,0.999482268,0,0,0.994846689,0,-0.00154999,0.797135214,0.064559833
6,4,1,0.153846154,1,0.994331358,0.266666667,0.391117828,0.736296518,0.290339426
6,5,1,0.125,1,0.996391753,0.222222222,0.352914631,0.896545031,0.36244452
7,1,0.999222999,0.1,0.4,0.994589023,0.16,0.198061636,0.756280756,0.185701169
7,2,1,0.0625,1,0.996135017,0.117647059,0.249516285,0.899207633,0.265191968
7,3,1,0,0,0.99536202,0,0,0.912877154,0.201115027
7,4,1,0.277777778,1,0.996650348,0.434782609,0.526161685,0.933888457,0.511428534
7,5,1,0.166666667,1,0.994845361,0.285714286,0.407193656,0.924263053,0.303465479
8,1,1,0.115384615,1,0.994073692,0.206896552,0.3386743,0.835338721,0.39179212
8,2,0.999741402,0.214285714,0.75,0.996908013,0.333333333,0.399891347,0.939857401,0.330958775
8,3,1,0.157894737,1,0.995877351,0.272727273,0.396539139,0.898852517,0.222511688
8,4,0.999741134,0.166666667,0.75,0.995877351,0.272727273,0.35236632,0.94409929,0.336265868
8,5,1,0.105263158,1,0.995618557,0.19047619,0.323730931,0.725132567,0.199559788
9,1,0.999741268,0.1875,0.75,0.996392682,0.3,0.373902542,0.954269082,0.330308253
9,2,1,0,0,0.99536202,0,0,0.888284868,0.133073365
9,3,1,0.105263158,1,0.995619686,0.19047619,0.323731114,0.836585898,0.221816174
9,4,1,0.235294118,1,0.996650348,0.380952381,0.484257319,0.871772622,0.35082805
9,5,0.999740529,0.269230769,0.875,0.994845361,0.411764706,0.483766511,0.880144505,0.385728216
