Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR,TR
0,1,0.997670205,0.222222222,0.307692308,0.994073692,0.258064516,0.258579428,0.899804412,0.204227501,0.099689016
0,2,0.998965339,0.2,0.428571429,0.995877351,0.272727273,0.290954549,0.914968098,0.215167037,0.183507764
0,3,1,0.291666667,1,0.995619686,0.451612903,0.538875465,0.921247083,0.410504757,0.111908738
0,4,0.994293126,0.269230769,0.24137931,0.989435712,0.254545455,0.249618476,0.658525392,0.114253758,0.026121606
0,5,1,0.307692308,1,0.997680412,0.470588235,0.55405582,0.912971693,0.407670236,0.817523265
1,1,0.997409326,0.285714286,0.375,0.993558361,0.324324324,0.324148973,0.783271651,0.171487023,0.056665065
1,2,0.996373057,0.523809524,0.44,0.993816027,0.47826087,0.477002426,0.880261535,0.415069988,0.035414889
1,3,0.998445596,0.333333333,0.538461538,0.994846689,0.411764706,0.42124736,0.780866025,0.281849213,0.120807182
1,4,0.999741134,0,0,0.995104355,0,-0.001095867,0.922225099,0.199550142,0.656880881
1,5,0.992496766,0.466666667,0.194444444,0.990463918,0.274509804,0.297197213,0.929831824,0.160031561,0.033930639
,,0.9969,0.3219,0.3096,0.9936,0.2978,0.3037,0.8593,0.2456,0.1807
,,0.0028,0.2042,0.2138,0.0019,0.1840,0.1852,0.0730,0.1060,0.2685
2,1,1,0.19047619,1,0.995619686,0.32,0.43547788,0.784332593,0.254851416,0.254854708
2,2,0.992492881,0.5,0.236842105,0.990208709,0.321428571,0.339837714,0.864771191,0.246241213,0.031170398
2,3,0.996896017,0.6,0.428571429,0.99536202,0.5,0.50486113,0.965218141,0.446374205,0.060116558
2,4,0.996629505,0.208333333,0.277777778,0.991754702,0.238095238,0.23648683,0.877571083,0.160516558,0.083897476
2,5,0.997151735,0.388888889,0.388888889,0.994329897,0.388888889,0.386040624,0.92951263,0.299700318,0.051908718
3,1,0.997406639,0.48,0.545454545,0.994073692,0.510638298,0.508719332,0.96003112,0.46886822,0.07942364
3,2,0.998704663,0.238095238,0.5,0.994589023,0.322580645,0.342667749,0.788206267,0.203393429,0.127658447
3,3,0.998704999,0.15,0.375,0.994331358,0.214285714,0.234758715,0.644185444,0.150781915,0.232751576
3,4,0.997410668,0.473684211,0.473684211,0.994846689,0.473684211,0.471094879,0.958461664,0.408709111,0.053520173
3,5,0.998966141,0,0,0.996134021,0,-0.001712912,0.905166945,0.068472652,0.155410138
4,1,0.999483338,0,0,0.996908013,0,-0.0011541,0.781477654,0.089097741,0.990213333
4,2,0.997926924,0.272727273,0.428571429,0.993816027,0.333333333,0.338931857,0.820408019,0.250038047,0.096179327
4,3,0.998444387,0.333333333,0.571428571,0.994331358,0.421052632,0.433836967,0.91487339,0.361043477,0.060554155
4,4,0.993513233,0.481481481,0.342105263,0.989951044,0.4,0.400958592,0.915143478,0.367890276,0.034858199
4,5,1,0.076923077,1,0.996907216,0.142857143,0.276920763,0.667621492,0.091631249,0.895894952
5,1,0.998963462,0.272727273,0.6,0.994846689,0.375,0.402357381,0.848889255,0.284160356,0.076673919
5,2,0.995853848,0.409090909,0.36,0.992527699,0.382978723,0.380019597,0.865732997,0.244071084,0.037096766
5,3,1,0.25,1,0.996908013,0.4,0.499225606,0.922412678,0.407646971,0.189268508
5,4,0.995595855,0.19047619,0.19047619,0.991239371,0.19047619,0.186072045,0.762607945,0.11379699,0.030854179
5,5,0.998447607,0.466666667,0.538461538,0.996391753,0.5,0.499483658,0.936265632,0.427309098,0.195386129
6,1,0.999741201,0.294117647,0.833333333,0.996650348,0.434782609,0.493935582,0.909618195,0.371624697,0.191254181
6,2,0.997928534,0.368421053,0.466666667,0.994846689,0.411764706,0.4120995,0.897489711,0.332734416,0.05807199
6,3,0.998964535,0,0,0.994331358,0,-0.002192583,0.797135214,0.064559833,0.425289702
6,4,0.992477302,0.5,0.30952381,0.989178047,0.382352941,0.388285688,0.736296518,0.290339426,0.032609355
6,5,0.999223602,0.3125,0.625,0.996391753,0.416666667,0.440388094,0.896545031,0.36244452,0.068727569
7,1,0.994301994,0.35,0.24137931,0.990981706,0.285714286,0.286261076,0.756280756,0.185701169,0.039918138
